hotel_id,hotel_name,combined,hotel_site_id
LAXRB,Residence Inn Burton House Beverly Hills,laxrb-residence-inn-burton-house-beverly-hills,Marriott-LAXRB
LAXRI,Residence Inn Los Angeles L.A. LIVE,laxri-residence-inn-los-angeles-l.a.-live,Marriott-LAXRI
LAXAX,Residence Inn Los Angeles LAX/Century Boulevard,laxax-residence-inn-los-angeles-lax/century-boulevard,Marriott-LAXAX
LAXLZ,"The Ritz-Carlton, Los Angeles","laxlz-the-ritz-carlton,-los-angeles",Marriott-LAXLZ
LAXDP,"Downtown Los Angeles Proper Hotel, a Member of Design Hotels™","laxdp-downtown-los-angeles-proper-hotel,-a-member-of-design-hotels™",Marriott-LAXDP
LAXDU,"Hotel June West L.A., a Member of Design Hotels™","laxdu-hotel-june-west-l.a.,-a-member-of-design-hotels™",Marriott-LAXDU
LAXFP,Four Points by Sheraton Los Angeles International Airport,laxfp-four-points-by-sheraton-los-angeles-international-airport,Marriott-LAXFP
LAXLS,"SLS Hotel, a Luxury Collection Hotel, Beverly Hills","laxls-sls-hotel,-a-luxury-collection-hotel,-beverly-hills",Marriott-LAXLS
LAXSI,Sheraton Gateway Los Angeles Hotel,laxsi-sheraton-gateway-los-angeles-hotel,Marriott-LAXSI
LAXGR,Sheraton Grand Los Angeles,laxgr-sheraton-grand-los-angeles,Marriott-LAXGR
LAXWB,W Los Angeles - West Beverly Hills,laxwb-w-los-angeles---west-beverly-hills,Marriott-LAXWB
LAXBW,"The Westin Bonaventure Hotel & Suites, Los Angeles","laxbw-the-westin-bonaventure-hotel-&-suites,-los-angeles",Marriott-LAXBW
LAXWI,The Westin Los Angeles Airport,laxwi-the-westin-los-angeles-airport,Marriott-LAXWI
FATMD,SpringHill Suites Madera,fatmd-springhill-suites-madera,Marriott-FATMD
MMHWI,"The Westin Monache Resort, Mammoth","mmhwi-the-westin-monache-resort,-mammoth",Marriott-MMHWI
LAXAW,"westdrift Manhattan Beach, Autograph Collection","laxaw-westdrift-manhattan-beach,-autograph-collection",Marriott-LAXAW
LAXMH,Residence Inn Los Angeles LAX/Manhattan Beach,laxmh-residence-inn-los-angeles-lax/manhattan-beach,Marriott-LAXMH
MRYSH,SpringHill Suites The Dunes On Monterey Bay,mrysh-springhill-suites-the-dunes-on-monterey-bay,Marriott-MRYSH
LAXCI,Courtyard Marina del Rey,laxci-courtyard-marina-del-rey,Marriott-LAXCI
LAXMB,Marina del Rey Marriott,laxmb-marina-del-rey-marriott,Marriott-LAXMB
LAXMA,Residence Inn Marina del Rey,laxma-residence-inn-marina-del-rey,Marriott-LAXMA
LAXMD,"The Ritz-Carlton, Marina del Rey","laxmd-the-ritz-carlton,-marina-del-rey",Marriott-LAXMD
ONTFM,Fairfield Inn & Suites Menifee,ontfm-fairfield-inn-&-suites-menifee,Marriott-ONTFM
SJCMN,"Hotel Nia, Autograph Collection","sjcmn-hotel-nia,-autograph-collection",Marriott-SJCMN
SJCME,Residence Inn Palo Alto Menlo Park,sjcme-residence-inn-palo-alto-menlo-park,Marriott-SJCME
MCECY,Courtyard Merced,mcecy-courtyard-merced,Marriott-MCECY
MCEED,TownePlace Suites Merced,mceed-towneplace-suites-merced,Marriott-MCEED
SFOME,Fairfield Inn & Suites San Francisco Airport/Millbrae,sfome-fairfield-inn-&-suites-san-francisco-airport/millbrae,Marriott-SFOME
SFOMI,Residence Inn San Francisco Airport Millbrae Station,sfomi-residence-inn-san-francisco-airport-millbrae-station,Marriott-SFOMI
SFOAL,Aloft San Francisco Airport,sfoal-aloft-san-francisco-airport,Marriott-SFOAL
SFOWI,The Westin San Francisco Airport,sfowi-the-westin-san-francisco-airport,Marriott-SFOWI
SJCMP,Courtyard Milpitas Silicon Valley,sjcmp-courtyard-milpitas-silicon-valley,Marriott-SJCMP
SJCML,Residence Inn Milpitas Silicon Valley,sjcml-residence-inn-milpitas-silicon-valley,Marriott-SJCML
SJCMS,SpringHill Suites Milpitas Silicon Valley,sjcms-springhill-suites-milpitas-silicon-valley,Marriott-SJCMS
SJCEM,Element San Jose Milpitas,sjcem-element-san-jose-milpitas,Marriott-SJCEM
SJCSA,Sheraton San Jose Hotel,sjcsa-sheraton-san-jose-hotel,Marriott-SJCSA
SJCTM,TownePlace Suites Milpitas Silicon Valley,sjctm-towneplace-suites-milpitas-silicon-valley,Marriott-SJCTM
SNAVO,Fairfield Inn Mission Viejo Orange County,snavo-fairfield-inn-mission-viejo-orange-county,Marriott-SNAVO
MODMR,Residence Inn Modesto North,modmr-residence-inn-modesto-north,Marriott-MODMR
MODSH,SpringHill Suites Modesto,modsh-springhill-suites-modesto,Marriott-MODSH
LAXMR,Courtyard Los Angeles Pasadena/Monrovia,laxmr-courtyard-los-angeles-pasadena/monrovia,Marriott-LAXMR
MRYCA,Monterey Marriott,mryca-monterey-marriott,Marriott-MRYCA
LAXMP,Courtyard Los Angeles Monterey Park,laxmp-courtyard-los-angeles-monterey-park,Marriott-LAXMP
OXRVM,Fairfield Inn & Suites Moorpark Ventura County,oxrvm-fairfield-inn-&-suites-moorpark-ventura-county,Marriott-OXRVM
RALFM,Fairfield Inn & Suites Riverside Moreno Valley,ralfm-fairfield-inn-&-suites-riverside-moreno-valley,Marriott-RALFM
ONTMR,Residence Inn Riverside Moreno Valley,ontmr-residence-inn-riverside-moreno-valley,Marriott-ONTMR
SJCMH,Courtyard San Jose South/Morgan Hill,sjcmh-courtyard-san-jose-south/morgan-hill,Marriott-SJCMH
SJCMO,Residence Inn San Jose South/Morgan Hill,sjcmo-residence-inn-san-jose-south/morgan-hill,Marriott-SJCMO
SFOMV,Residence Inn Palo Alto Mountain View,sfomv-residence-inn-palo-alto-mountain-view,Marriott-SFOMV
SJCAM,Aloft Mountain View,sjcam-aloft-mountain-view,Marriott-SJCAM
ONTTC,Courtyard Temecula Murrieta,onttc-courtyard-temecula-murrieta,Marriott-ONTTC
